age,birth_place,division,fight_time_avg,fighting_style,first_round_finishes,height,knockdown_avg,ko_wins,name,nickname,octagon_debut,pos_clinch_pct,pos_ground_pct,pos_stand_pct,reach,record,sig_strikes_absorbed_per_min,sig_strikes_accuracy_pct,sig_strikes_landed_per_min,slug,status,submission_avg,takedown_avg,takedown_defense_pct,target_body_pct,target_head_pct,target_leg_pct,weight,wins_dec,wins_ko_tko,wins_sub
27,N/A,Poids plume Division,00:00,N/A,N/A,N/A,N/A,N/A,Roshan Mainam,N/A,"Oct. 21, 2025",0 (0 %),0 (0 %),0 (0 %),N/A,0-0-0 (W-L-D),N/A,N/A,N/A,roshan-mainam,Ne se bat pas,N/A,N/A,N/A,0%,0%,0%,N/A,0 (0 %),0 (0 %),0 (0 %)
22,"Manaus, Brazil",Poids mi-moyens Division,10:43,N/A,N/A,N/A,0.00,N/A,José Henrique,N/A,"Oct. 21, 2025",0 (0%),0 (0%),37 (100%),N/A,0-1-0 (W-L-D),5.79,44%,37,jose-henrique,Actif,0.00,N/A,N/A,16%,84%,0%,171.00,0 (0 %),0 (0 %),0 (0 %)
31,Brazil,Poids moyens Division,01:52,N/A,N/A,N/A,0.00,N/A,Leonardo De Oliveira,N/A,"Oct. 21, 2025",1 (50%),0 (0%),1 (50%),N/A,0-0-0 (W-L-D),0.54,40%,2,leonardo-de-oliveira,Actif,0.00,N/A,N/A,0%,50%,50%,N/A,0 (0 %),0 (0 %),0 (0 %)
50,"Rancho Cucamonga, États-Unis",Poids mi-lourds Division,N/A,N/A,N/A,74.00,N/A,N/A,Wes Combs,"""The Soldier""","Jun. 24, 2006",N/A,N/A,N/A,N/A,12-2-0 (W-L-D),N/A,N/A,N/A,wes-combs,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,205.00,N/A,N/A,N/A
32,"Gdansk, Poland",Poids légers Division,09:52,N/A,N/A,68.00,0.00,N/A,Lukasz Sajewski,"""Wookiee""","Jun. 20, 2015",4 (7%),7 (11%),50 (82%),39.00,13-3-0 (W-L-D),3.88,36%,61,lukasz-sajewski,Ne se bat pas,0.00,67%,N/A,36%,54%,10%,156.00,4 (31%),3 (23%),6 (46%)
36,"Dublin, Ireland",Poids plume Division,15:00,N/A,N/A,66.00,0.00,N/A,Jay Cucciniello,"""MellowFellow""","Jul. 6, 2018",1 (7%),0 (0%),13 (93%),38.00,9-1-0 (W-L-D),4.73,22%,14,jay-cucciniello,Ne se bat pas,0.00,71%,N/A,36%,57%,7%,145.00,0 (0%),4 (44%),5 (56%)
N/A,"Denver, United States",Poids moyens Division,00:00,N/A,N/A,74.00,N/A,N/A,Trent Jenkins,N/A,"Nov. 12, 1993",0 (0 %),0 (0 %),0 (0 %),N/A,0-2-0 (W-L-D),N/A,N/A,N/A,trent-jenkins,Ne se bat pas,N/A,N/A,N/A,0%,0%,0%,185.00,0 (0 %),0 (0 %),0 (0 %)
39,"Saint Paul, United States",Poids mi-lourds Division,07:57,N/A,N/A,73.00,0.81,N/A,Sean O'Connell,"""The Real OC""","Apr. 16, 2014",75 (25%),15 (5%),214 (70%),42.00,17-9-0 (W-L-D),6.77,49%,304,sean-oconnell,Ne se bat pas,0.54,30%,N/A,21%,68%,11%,205.60,5 (29%),9 (53%),3 (18%)
34,"Krasnoyarsk, Russia",Poids moyens Division,11:04,Muay Thai,3,75.00,0.17,6,Armen Petrosyan,"""Superman""","Feb. 26, 2022",26 (5%),20 (4%),471 (91%),42.00,9-5-0 (W-L-D),3.31,53%,517,armen-petrosyan,Ne se bat pas,0.00,41%,N/A,22%,34%,44%,186.00,3 (33%),6 (67%),0 (0%)
41,United States,Poids moyens Division,00:00,N/A,N/A,75.00,N/A,N/A,Sean Loeffler,"""The Destroyer""","Oct. 21, 2025",0 (0 %),0 (0 %),0 (0 %),N/A,25-5-0 (W-L-D),N/A,N/A,N/A,sean-loeffler,Ne se bat pas,N/A,N/A,N/A,0%,0%,0%,185.00,0 (0 %),0 (0 %),0 (0 %)
34,"Jersey City, United States",Poids coq Division,13:33,Freestyle,4,69.00,0.44,9,Chris Gutierrez,"""El Guapo""","Nov. 30, 2018",17 (2%),26 (3%),852 (95%),39.00,22-6-2 (W-L-D),2.65,58%,895,chris-gutierrez,Actif,0.07,68%,N/A,11%,38%,51%,136.00,12 (55%),9 (41%),1 (5%)
29,Türkiye,Poids mi-lourds Division,06:31,Striker,12,75.00,0.92,14,Ibo Aslan,"""The Last Ottoman""","Mar. 30, 2024",11 (7%),6 (4%),149 (90%),43.50,14-3-0 (W-L-D),3.47,47%,166,ibo-aslan,Actif,0.00,87%,N/A,9%,75%,16%,204.00,0 (0%),14 (100%),0 (0%)
N/A,"Salford, United Kingdom",Poids mouche Division,00:00,N/A,N/A,67.00,N/A,N/A,Pietro Menga,"""The Italian Stallion""","Oct. 21, 2025",0 (0 %),0 (0 %),0 (0 %),36.00,13-0-0 (W-L-D),N/A,N/A,N/A,pietro-menga,Ne se bat pas,N/A,N/A,N/A,0%,0%,0%,143.00,2 (15%),3 (23%),8 (62%)
39,"Knoxville, United States",Poids légers Division,12:52,Freestyle,2,69.00,0.36,5,Scott Holtzman,"""Hot Sauce""","Aug. 8, 2015",115 (16%),147 (20%),461 (64%),39.00,14-6-0 (W-L-D),3.66,48%,723,scott-holtzman,Ne se bat pas,0.18,67%,N/A,16%,73%,11%,155.50,7 (50%),5 (36%),2 (14%)
33,"Palos Heights, United States",Poids mi-moyens Division,12:43,Jiu-Jitsu,N/A,72.00,0.16,1,Anthony Rocco Martin,N/A,"Feb. 2, 2014",42 (8%),41 (8%),428 (84%),41.00,17-6-0 (W-L-D),2.59,37%,511,anthony-rocco-martin,Ne se bat pas,1.02,69%,N/A,9%,73%,18%,170.50,6 (38%),1 (6%),9 (56%)
33,"Guadalajara, Mexico",Poids mi-moyens Division,03:19,N/A,N/A,73.00,1.13,N/A,Alvaro Herrera,"""Chango""","Nov. 21, 2015",3 (12%),2 (8%),20 (80%),41.00,9-6-0 (W-L-D),3.40,38%,25,alvaro-herrera,Ne se bat pas,1.13,33%,N/A,28%,68%,4%,156.00,0 (0%),5 (63%),3 (38%)
32,"Falmouth, United States",Poids mi-moyens Division,11:37,N/A,N/A,72.00,0.00,N/A,Sean Lally,"""The Unpredictable One""","Oct. 21, 2025",5 (8%),0 (0%),57 (92%),40.50,8-4-0 (W-L-D),7.23,39%,62,sean-lally,Actif,0.00,N/A,N/A,11%,69%,19%,170.50,0 (0 %),0 (0 %),0 (0 %)
26,Australia,Poids coq Division,15:00,Freestyle,4,67.00,0.00,2,Colby Thicknesse,"""Slickness""","Feb. 8, 2025",7 (7%),43 (43%),50 (50%),39.00,8-1-0 (W-L-D),2.80,42%,100,colby-thicknesse,Actif,0.50,50%,N/A,20%,66%,14%,135.50,4 (50%),2 (25%),2 (25%)
31,"State of Minas Gerais, Brazil",Poids mi-lourds Division,15:00,N/A,N/A,76.00,0.00,N/A,Acacio dos Santos,N/A,"Oct. 21, 2025",1 (5%),0 (0%),18 (95%),45.00,0-1-0 (W-L-D),1.40,41%,19,acacio-dos-santos,Ne se bat pas,0.00,31%,N/A,0%,95%,5%,201.00,0 (0 %),0 (0 %),0 (0 %)
40,"St. Helens, Royaume-Uni",Heavyweight Division,N/A,N/A,N/A,74.00,N/A,N/A,Rob Broughton,"""The Bear""","Oct. 16, 2010",N/A,N/A,N/A,N/A,15-7-1 (W-L-D),N/A,N/A,N/A,rob-broughton,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,258.00,N/A,N/A,N/A
36,"Olney, United States",Poids mi-moyens Division,08:10,Boxer,N/A,75.00,0.52,3,James Vick,"""The Texecutioner""","Aug. 17, 2013",31 (7%),19 (4%),422 (89%),43.00,13-5-0 (W-L-D),3.31,40%,472,james-vick,Ne se bat pas,0.66,58%,N/A,25%,61%,14%,170.50,5 (38%),3 (23%),5 (38%)
35,United States,Poids moyens Division,06:22,N/A,N/A,71.00,0.94,N/A,Oluwale Bamgbose,"""Holy War Angel""","Aug. 8, 2015",15 (19%),13 (17%),50 (64%),42.00,6-4-0 (W-L-D),2.70,48%,78,oluwale-bamgbose,Ne se bat pas,0.00,38%,N/A,28%,47%,24%,184.50,0 (0%),6 (100%),0 (0%)
43,"Copenhagen, Denmark",Heavyweight Division,09:47,N/A,N/A,77.00,0.00,N/A,Christian Colombo,"""Godzilla""","Sep. 3, 2016",39 (48%),2 (2%),40 (49%),48.50,8-3-1 (W-L-D),4.02,45%,81,christian-colombo,Ne se bat pas,0.00,33%,N/A,26%,63%,11%,258.00,2 (25%),6 (75%),0 (0%)
39,États-Unis,Poids légers Division,N/A,N/A,N/A,69.00,N/A,N/A,Sam Stout,"""Hands of Stone""","Mar. 4, 2006",N/A,N/A,N/A,70.00,21-12-1 (W-L-D),N/A,N/A,N/A,sam-stout,Retraité,N/A,N/A,N/A,N/A,N/A,N/A,155.00,N/A,N/A,N/A
34,United States,Poids moyens Division,15:00,N/A,N/A,71.00,0.00,N/A,Patrick Walsh,N/A,"Jul. 6, 2014",1 (2%),6 (10%),54 (89%),73.00,5-3-0 (W-L-D),2.83,19%,61,patrick-walsh,Ne se bat pas,1.50,100%,N/A,0%,98%,2%,191.50,2 (40%),2 (40%),1 (20%)
N/A,Brésil,Poids moyens Division,N/A,N/A,N/A,73.00,N/A,N/A,Ronny Markes,N/A,"Aug. 15, 2011",N/A,N/A,N/A,75.00,14-3-0 (W-L-D),N/A,N/A,N/A,ronny-markes,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,190.00,N/A,N/A,N/A
25,"Sichuan, China",Poids légers Division,12:19,Striker,12,69.00,0.54,15,Rongzhu,N/A,"Apr. 24, 2021",30 (4%),60 (9%),577 (87%),39.00,27-6-0 (W-L-D),5.44,51%,667,rongzhu,Actif,0.14,84%,N/A,15%,74%,11%,155.50,6 (22%),15 (56%),6 (22%)
41,"San Diego, États-Unis",Poids légers Division,N/A,N/A,N/A,70.00,N/A,N/A,Shannon Gugerty,N/A,"Jul. 19, 2008",N/A,N/A,N/A,N/A,12-6-0 (W-L-D),N/A,N/A,N/A,shannon-gugerty,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,155.00,N/A,N/A,N/A
29,United States,Poids plume Division,13:48,Boxing,4,68.00,0.00,6,Tucker Lutz,"""Top Gun""","May. 15, 2021",30 (10%),25 (8%),255 (82%),39.00,12-4-0 (W-L-D),3.25,47%,310,tucker-lutz,Actif,0.18,69%,N/A,25%,54%,21%,163.00,4 (33%),6 (50%),2 (17%)
44,Canada,Poids mi-lourds Division,15:00,N/A,N/A,71.00,0.00,N/A,Roger Hollett,"""The Hulk""","Sep. 22, 2012",16 (29%),2 (4%),37 (67%),N/A,13-5-0 (W-L-D),6.47,47%,55,roger-hollett,Ne se bat pas,0.00,30%,N/A,44%,42%,15%,204.00,0 (0 %),0 (0 %),0 (0 %)
34,"Du Quoin, United States",Poids légers Division,12:24,N/A,N/A,69.00,0.40,N/A,Garrett Gross,"""Glory to God""","Oct. 21, 2025",10 (11%),37 (42%),42 (47%),69.00,11-8-0 (W-L-D),1.67,46%,89,garrett-gross,Actif,0.00,52%,N/A,21%,60%,19%,155.50,0 (0 %),0 (0 %),0 (0 %)
25,"Leeds, England",Poids coq Division,12:20,N/A,N/A,N/A,0.00,N/A,Louis Lee Scott,N/A,"Oct. 21, 2025",10 (15%),3 (5%),53 (80%),N/A,1-0-0 (W-L-D),0.81,58%,66,louis-lee-scott,Actif,0.00,100%,N/A,36%,29%,35%,136.50,0 (0 %),0 (0 %),0 (0 %)
38,Japan,Poids mi-moyens Division,01:05,N/A,N/A,70.00,0.00,N/A,Takenori Sato,N/A,"Feb. 15, 2014",0 (0%),0 (0%),1 (100%),N/A,17-10-7 (W-L-D),12.92,33%,1,takenori-sato,Ne se bat pas,0.00,N/A,N/A,0%,0%,100%,169.00,8 (47%),3 (18%),6 (35%)
38,"Spokane, United States",Poids légers Division,11:59,N/A,N/A,71.00,0.28,N/A,Jon Tuck,"""The Super Saiyan""","Nov. 10, 2012",30 (9%),35 (11%),259 (80%),39.00,10-5-0 (W-L-D),3.74,40%,324,jon-tuck,Ne se bat pas,0.97,50%,N/A,25%,56%,19%,155.50,1 (10%),4 (40%),5 (50%)
36,"New York, United States",Poids plume Division,11:38,N/A,N/A,69.00,0.32,N/A,Jim Alers,"""The Beast""","Apr. 11, 2014",21 (16%),12 (9%),102 (76%),40.00,13-3-0 (W-L-D),4.38,40%,135,jim-alers,Ne se bat pas,0.32,80%,N/A,10%,63%,27%,145.00,2 (15%),2 (15%),9 (69%)
39,"Pine Bluff, United States",Poids moyens Division,05:00,N/A,N/A,70.00,0.00,3,Charles Byrd,"""Kid Dynamite""","Jul. 11, 2017",15 (15%),40 (39%),48 (47%),39.00,10-7-0 (W-L-D),2.63,56%,103,charles-byrd,Ne se bat pas,1.50,40%,N/A,7%,83%,11%,184.50,2 (20%),3 (30%),5 (50%)
54,Brazil,Poids moyens Division,00:00,N/A,N/A,0.00,N/A,N/A,Amaury Bitetti,N/A,"May. 17, 1996",0 (0 %),0 (0 %),0 (0 %),N/A,0-0-0 (W-L-D),N/A,N/A,N/A,amaury-bitetti,Ne se bat pas,N/A,N/A,N/A,0%,0%,0%,0.00,0 (0 %),0 (0 %),0 (0 %)
41,"Lafayette, United States",Poids mi-moyens Division,09:00,N/A,N/A,72.00,1.15,11,Alan Jouban,"""Brahma""","Aug. 16, 2014",86 (13%),39 (6%),538 (81%),41.00,17-7-0 (W-L-D),3.77,50%,663,alan-jouban,Retraité,0.26,59%,N/A,21%,60%,19%,170.50,4 (25%),11 (69%),1 (6%)
32,Cyprus,Poids coq Division,07:38,Striker,4,67.00,1.31,6,Charalampos Grigoriou,"""Ferocious ""","Mar. 16, 2024",1 (2%),26 (43%),33 (55%),38.00,8-5-0 (W-L-D),3.97,49%,60,charalampos-grigoriou,Ne se bat pas,0.00,91%,N/A,12%,82%,7%,136.00,2 (25%),6 (75%),0 (0%)
33,Japan,Poids mi-moyens Division,08:28,Striker,10,70.00,0.51,11,Takashi Sato,"""Ten""","Apr. 27, 2019",17 (13%),38 (29%),76 (58%),41.00,16-8-0 (W-L-D),3.73,42%,131,takashi-sato,Ne se bat pas,0.00,61%,N/A,18%,77%,5%,170.50,3 (19%),11 (69%),2 (13%)
46,Armenia,Poids moyens Division,09:00,N/A,N/A,69.00,0.00,N/A,Amar Suloev,N/A,"Jan. 11, 2002",0 (0%),2 (6%),33 (94%),N/A,36-6-0 (W-L-D),6.90,42%,35,amar-suloev,Ne se bat pas,0.83,88%,N/A,6%,60%,34%,183.00,0 (0 %),0 (0 %),0 (0 %)
35,Brazil,Poids plume Division,02:12,N/A,N/A,66.00,0.00,N/A,Anistavio Medeiros,"""Gasparzinho""","Jun. 24, 2012",0 (0%),0 (0%),8 (100%),N/A,15-8-0 (W-L-D),5.00,44%,8,anistavio-medeiros,Ne se bat pas,0.00,N/A,N/A,0%,25%,75%,146.00,0 (0 %),0 (0 %),0 (0 %)
41,"Turku, Finland",Poids plume Division,07:35,N/A,N/A,69.00,0.00,N/A,Tom Niinimaki,"""Stoneface""","Dec. 1, 2013",5 (9%),14 (24%),39 (67%),69.00,21-8-1 (W-L-D),2.31,55%,58,tom-niinimaki,Ne se bat pas,0.49,33%,N/A,29%,33%,38%,146.00,6 (29%),7 (33%),8 (38%)
50,"Ottumwa, United States",Poids légers Division,09:22,N/A,N/A,68.00,0.00,N/A,Jason Black,N/A,"Jun. 12, 2007",7 (21%),17 (52%),9 (27%),N/A,22-4-1 (W-L-D),2.60,48%,33,jason-black,Ne se bat pas,6.25,29%,N/A,18%,82%,0%,156.00,0 (0 %),0 (0 %),0 (0 %)
32,"State of Rio Grande do Sul, Brazil",Poids moyens Division,00:00,N/A,N/A,N/A,N/A,N/A,Daniel Pereira,N/A,"Oct. 21, 2025",0 (0 %),0 (0 %),0 (0 %),N/A,0-0-0 (W-L-D),N/A,N/A,N/A,daniel-pereira,Ne se bat pas,N/A,N/A,N/A,0%,0%,0%,N/A,0 (0 %),0 (0 %),0 (0 %)
42,Canada,Poids moyens Division,N/A,N/A,N/A,72.00,N/A,N/A,Jesse Bongfeldt,"""Water""","Dec. 12, 2010",N/A,N/A,N/A,N/A,15-5-1 (W-L-D),N/A,N/A,N/A,jesse-bongfeldt,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,185.00,N/A,N/A,N/A
36,"Wilson, United States",Poids moyens Division,07:46,N/A,N/A,71.00,0.00,N/A,Shonte Barnes,"""Shyne""","Oct. 21, 2025",2 (11%),0 (0%),16 (89%),41.50,0-1-0 (W-L-D),1.55,38%,18,shonte-barnes,Actif,0.00,60%,N/A,44%,22%,33%,185.00,0 (0 %),0 (0 %),0 (0 %)
40,États-Unis,Poids coq Division,N/A,N/A,N/A,68.00,N/A,N/A,Ken Stone,N/A,"Jun. 5, 2011",N/A,N/A,N/A,N/A,11-4-0 (W-L-D),N/A,N/A,N/A,ken-stone,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,135.00,N/A,N/A,N/A
35,"Cebu City, Philippines",Poids plume Division,07:45,MMA,2,69.00,0.39,6,Hyder Amil,"""The Hurricane""","Feb. 10, 2024",26 (10%),26 (10%),213 (80%),39.00,11-1-0 (W-L-D),4.18,57%,265,hyder-amil,Actif,1.16,81%,N/A,25%,63%,12%,145.50,4 (36%),6 (55%),1 (9%)
41,"Trenton, United States",Heavyweight Division,11:32,N/A,N/A,73.00,0.65,N/A,Zu Anyanwu,"""8th Wonder""","Jul. 11, 2017",3 (5%),6 (11%),48 (84%),41.00,14-5-0 (W-L-D),2.47,43%,57,zu-anyanwu,Ne se bat pas,0.00,N/A,N/A,19%,81%,0%,263.50,4 (29%),8 (57%),2 (14%)
36,"Saugerties, United States",Poids légers Division,11:35,N/A,N/A,66.00,0.38,4,Dennis Bermudez,"""The Menace""","Dec. 4, 2011",159 (18%),250 (29%),461 (53%),38.00,18-9-0 (W-L-D),3.07,46%,870,dennis-bermudez,Ne se bat pas,1.07,83%,N/A,15%,67%,18%,155.80,9 (53%),4 (24%),4 (24%)
38,"Mexicali, Mexico",Heavyweight Division,15:00,N/A,N/A,72.00,0.00,N/A,Oscar Cota,"""Elevation""","Oct. 21, 2025",0 (0%),3 (60%),2 (40%),41.00,10-2-0 (W-L-D),2.47,42%,5,oscar-cota,Actif,1.00,60%,N/A,0%,80%,20%,263.50,0 (0 %),0 (0 %),0 (0 %)
55,"Rio de Janeiro, Brazil",Poids légers Division,16:15,N/A,N/A,70.00,0.00,N/A,Wallid Ismail,N/A,"Feb. 7, 1997",0 (0%),29 (97%),1 (3%),N/A,0-0-0 (W-L-D),0.83,31%,30,wallid-ismail,Ne se bat pas,0.46,N/A,N/A,10%,90%,0%,0.00,0 (0 %),0 (0 %),0 (0 %)
44,États-Unis,Poids coq Division,N/A,N/A,N/A,67.00,N/A,N/A,Yves Jabouin,"""Tiger""","Apr. 30, 2011",N/A,N/A,N/A,68.00,20-11-0 (W-L-D),N/A,N/A,N/A,yves-jabouin,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,135.50,N/A,N/A,N/A
29,N/A,Poids mouche Division,15:00,N/A,N/A,70.00,1.00,N/A,Manny Vazquez,N/A,"Jul. 11, 2017",4 (18%),3 (14%),15 (68%),39.00,11-2-0 (W-L-D),2.67,42%,22,manny-vazquez,Actif,1.00,N/A,N/A,27%,64%,9%,125.80,4 (36%),1 (9%),6 (55%)
37,United States,Poids mi-lourds Division,06:36,N/A,N/A,77.00,0.00,N/A,Matt Van Buren,"""Gutter""","Jul. 6, 2014",28 (27%),0 (0%),74 (73%),76.00,7-4-0 (W-L-D),6.82,46%,102,matt-van-buren,Ne se bat pas,0.00,50%,N/A,41%,54%,5%,205.00,3 (43%),3 (43%),1 (14%)
28,"Los Banos, United States",Poids moyens Division,15:00,N/A,N/A,N/A,0.00,N/A,Kailan Hill,N/A,"Oct. 21, 2025",3 (8%),1 (3%),35 (90%),N/A,0-0-0 (W-L-D),4.80,53%,39,kailan-hill,Ne se bat pas,0.00,N/A,N/A,21%,59%,21%,185.50,0 (0 %),0 (0 %),0 (0 %)
37,"Louisa, États-Unis",Poids légers Division,N/A,N/A,N/A,73.00,N/A,N/A,Dustin Hazelett,N/A,"Oct. 10, 2006",N/A,N/A,N/A,77.00,14-7-0 (W-L-D),N/A,N/A,N/A,dustin-hazelett,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,155.00,N/A,N/A,N/A
37,United States,Poids mi-lourds Division,07:25,N/A,N/A,75.00,0.00,N/A,Guto Inocente,N/A,"May. 20, 2012",27 (29%),2 (2%),63 (68%),77.00,6-4-0 (W-L-D),2.92,67%,92,guto-inocente,Ne se bat pas,0.67,67%,N/A,35%,39%,26%,205.00,1 (17%),3 (50%),2 (33%)
25,"Hayward, United States",Poids mouche Division,15:00,N/A,N/A,N/A,0.50,N/A,Mark Climaco,N/A,"Oct. 21, 2025",21 (17%),3 (2%),100 (81%),N/A,1-1-0 (W-L-D),2.90,60%,124,mark-climaco,Actif,0.00,47%,N/A,22%,39%,40%,141.20,0 (0 %),0 (0 %),0 (0 %)
36,"Sandpoint, United States",Heavyweight Division,13:19,N/A,N/A,74.00,0.00,N/A,Jared Rosholt,N/A,"Dec. 1, 2013",53 (24%),76 (34%),93 (42%),41.00,14-3-0 (W-L-D),1.52,46%,222,jared-rosholt,Ne se bat pas,0.14,67%,N/A,22%,62%,17%,245.00,7 (50%),6 (43%),1 (7%)
31,"Jundiaí, Brazil",Poids moyens Division,05:21,Boxing,8,73.00,1.12,11,Claudio Ribeiro,N/A,"Jan. 14, 2023",6 (6%),26 (27%),64 (67%),42.00,11-5-0 (W-L-D),4.90,52%,96,claudio-ribeiro,Ne se bat pas,0.00,67%,N/A,11%,64%,25%,185.50,0 (0%),11 (100%),0 (0%)
40,Brésil,Poids mi-moyens Division,N/A,Grappling,N/A,68.00,N/A,N/A,Rafael Dos Anjos,N/A,"Nov. 15, 2008",N/A,N/A,N/A,38.00,32-17-0 (W-L-D),N/A,N/A,N/A,rafael-dos-anjos,Actif,N/A,N/A,N/A,N/A,N/A,N/A,171.00,N/A,N/A,N/A
29,"State of São Paulo, Brazil",Poids mi-lourds Division,03:20,N/A,N/A,N/A,4.50,N/A,Levi Rodrigues Jr.,N/A,"Oct. 21, 2025",3 (20%),7 (47%),5 (33%),N/A,1-0-0 (W-L-D),2.10,79%,15,levi-rodrigues-jr,Actif,0.00,100%,N/A,7%,80%,13%,N/A,0 (0 %),0 (0 %),0 (0 %)
33,"State of Mexico, Mexico",Poids plume Division,10:41,Boxer,N/A,66.00,0.11,10,Alejandro Pérez,"""Turbo""","Nov. 15, 2014",28 (6%),68 (14%),383 (80%),36.50,23-9-1 (W-L-D),3.18,36%,479,alejandro-perez,Ne se bat pas,0.32,71%,N/A,13%,62%,26%,144.50,7 (30%),10 (43%),6 (26%)
40,"Bayshore, États-Unis",Poids mi-moyens Division,N/A,N/A,N/A,71.00,N/A,N/A,Pete Sell,"""Drago""","Feb. 5, 2005",N/A,N/A,N/A,N/A,8-6-0 (W-L-D),N/A,N/A,N/A,pete-sell,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,170.00,N/A,N/A,N/A
26,"St Paul, United States",Poids moyens Division,03:35,Brazilian Jiu-Jitsu,6,76.00,0.00,3,Jackson McVey,"""The Moose""","Jun. 28, 2025",0 (0%),0 (0%),4 (100%),46.50,6-1-0 (W-L-D),1.95,27%,4,jackson-mcvey,Actif,0.00,N/A,N/A,25%,75%,0%,185.00,0 (0%),3 (50%),3 (50%)
28,"Vienna, Austria",Heavyweight Division,15:00,N/A,N/A,77.00,0.00,N/A,Kevin Szaflarski,N/A,"Oct. 21, 2025",0 (0%),0 (0%),17 (100%),46.00,0-1-0 (W-L-D),8.07,28%,17,kevin-szaflarski,Actif,0.00,N/A,N/A,6%,94%,0%,N/A,0 (0 %),0 (0 %),0 (0 %)
36,"Wigan, United Kingdom",Poids plume Division,10:10,Grappler,N/A,67.00,0.37,1,Mike Grundy,N/A,"Mar. 16, 2019",14 (16%),5 (6%),66 (78%),38.00,12-4-0 (W-L-D),4.45,45%,85,mike-grundy,Ne se bat pas,0.37,50%,N/A,27%,73%,0%,145.00,3 (25%),1 (8%),8 (67%)
28,"Chicago, United States",Poids mouche Division,13:15,N/A,N/A,N/A,0.00,N/A,Nate Smith,N/A,"Oct. 21, 2025",2 (12%),3 (18%),12 (71%),N/A,0-1-0 (W-L-D),2.04,39%,17,nate-smith,Ne se bat pas,2.26,33%,N/A,6%,47%,47%,125.50,0 (0 %),0 (0 %),0 (0 %)
N/A,"Torrance, United States",Heavyweight Division,00:00,N/A,N/A,0.00,N/A,N/A,Joe Pardo,N/A,"May. 15, 1998",0 (0 %),0 (0 %),0 (0 %),N/A,0-0-0 (W-L-D),N/A,N/A,N/A,joe-pardo,Ne se bat pas,N/A,N/A,N/A,0%,0%,0%,0.00,0 (0 %),0 (0 %),0 (0 %)
39,N/A,Poids mi-lourds Division,02:02,N/A,N/A,N/A,0.00,N/A,Bruno Oliveira,N/A,"Oct. 21, 2025",0 (0%),0 (0%),7 (100%),N/A,0-1-0 (W-L-D),4.92,33%,7,bruno-oliveira,Actif,0.00,N/A,N/A,0%,29%,71%,203.00,0 (0 %),0 (0 %),0 (0 %)
30,"Uttarkashi, India",Poids légers Division,09:16,MMA,2,72.00,0.40,2,Anshul Jubli,"""King of Lions""","Jun. 10, 2022",17 (7%),32 (13%),189 (79%),40.50,7-2-0 (W-L-D),5.72,46%,238,anshul-jubli,Actif,0.40,64%,N/A,26%,67%,7%,155.50,4 (57%),2 (29%),1 (14%)
N/A,"Lowell, United States",,00:00,N/A,N/A,0.00,N/A,N/A,David Hood,N/A,"Sep. 8, 1995",0 (0 %),0 (0 %),0 (0 %),N/A,0-0-0 (W-L-D),N/A,N/A,N/A,david-hood,Ne se bat pas,N/A,N/A,N/A,0%,0%,0%,0.00,0 (0 %),0 (0 %),0 (0 %)
41,"Miami, United States",Poids coq Division,06:56,N/A,N/A,68.00,0.54,N/A,Patrick Williams,"""The Animal""","Apr. 26, 2014",26 (23%),1 (1%),87 (76%),39.00,8-7-0 (W-L-D),4.12,52%,114,patrick-williams,Ne se bat pas,0.54,100%,N/A,25%,38%,38%,136.00,1 (13%),4 (50%),3 (38%)
26,Italy,Poids plume Division,03:51,N/A,N/A,N/A,0.00,N/A,Manolo Zecchini,"""Angelo Veneziano""","Sep. 2, 2023",0 (0%),0 (0%),9 (100%),N/A,11-4-0 (W-L-D),6.75,22%,9,manolo-zecchini,Actif,0.00,N/A,N/A,11%,56%,33%,163.00,0 (0 %),0 (0 %),0 (0 %)
N/A,"Encinitas, United States",,00:00,N/A,N/A,0.00,N/A,N/A,Jon Hess,N/A,"Apr. 7, 1995",0 (0 %),0 (0 %),0 (0 %),N/A,0-0-0 (W-L-D),N/A,N/A,N/A,jon-hess,Ne se bat pas,N/A,N/A,N/A,0%,0%,0%,0.00,0 (0 %),0 (0 %),0 (0 %)
32,Kyrgyzstan,Poids légers Division,12:17,Muay Thai,6,68.00,0.22,8,Rafael Fiziev,"""Ataman""","Apr. 20, 2019",69 (11%),14 (2%),562 (87%),40.00,13-4-0 (W-L-D),4.77,52%,645,rafael-fiziev,Actif,0.00,90%,N/A,40%,44%,16%,155.50,4 (31%),8 (62%),1 (8%)
